Agency,Rcvd,PD NAME,Agency Full Name,Abbreviated Name,County Jurisdiction,State Jurisdiction,Office Location,Category,Link,Address
1,,Agency Name,,,,,,,,
2,Yes,KCPD,Kansas City Police Department,KCPD,Jackson / Clay / Platte / Cass,Missouri,Downtown,,https://kcpolice.org/,"1125 Locust St, Kansas City, MO 64106"
3,Yes,Independence PD,Independence Police Department,Independence PD,Jackson,Missouri,Eastern Jack,,https://www.independencemo.gov/government/city-departments/police,"223 N Memorial Dr, Independence, MO 64050"
4,Yes,Bad Check Unit,Bad Check Unit,Bad Check Unit,Jackson,Missouri,,Other In-County,,
5,Yes,Oak Grove PD,Oak Grove Police Department,Oak Grove PD,Jackson,Missouri,Eastern Jack,,https://cityofoakgrove.com/32/Police-Department,"2110 S Broadway, Oak Grove, MO 64075"
6,Yes,JCDTF,Jackson County Drug Task Force,JCDTF,Jackson,Missouri,Eastern Jack,,https://www.jacksoncountycombat.com/1027/Drug-Task-Force,
8,,Raymore PD,Raymore Police Department,Raymore PD,Cass,Missouri,,Other In-State,,
9,Yes,Lee's Summit PD,Lee's Summit Police Department,Lee's Summit PD,Jackson,Missouri,Eastern Jack,,https://cityofls.net/police-department,"10 NE Tudor Rd, Lee's Summit, MO 64086"
11,Yes,Grandview PD,Grandview Police Department,Grandview PD,Jackson,Missouri,Downtown,,https://www.grandview.org/government/city-departments/police,"1200 Main St, Grandview, MO 64030"
12,Yes,Blue Springs PD,Blue Springs Police Department,Blue Springs PD,Jackson,Missouri,Eastern Jack,,https://www.bluespringsgov.com/341/Police-Department,"1100 SW Smith St, Blue Springs, MO 64015"
14,Yes,Sugar Creek PD,Sugar Creek Police Department,Sugar Creek PD,Jackson,Missouri,Eastern Jack,,https://www.sugar-creek.mo.us/departments/police/index.php,"1001 Heroes Way, Sugar Creek, MO 64054"
16,Yes,Family Support,Family Support,Family Support,Jackson,Missouri,,Other In-County,,
21,,Lenexa KS Police Department,Lenexa Police Department,Lenexa PD,Johnson,Kansas,,Out-of-State,,
22,Yes,Department of Conser,MO Department of Convservation,,,Missouri,,State Agencies,https://mdc.mo.gov/,
24,Yes,Buckner PD,Buckner Police Department,Buckner PD,Jackson,Missouri,Eastern Jack,,https://www.cityofbucknermo.gov/police,"315 S Hudson St, Buckner, MO 64016"
25,Yes,Raytown PD,Raytown Police Department,Raytown PD,Jackson,Missouri,Eastern Jack,,https://www.raytownpolice.org/,"10000 E 59th St, Raytown, MO 64133"
26,,U.S. Dept. of Agriculture,US Department of Agriculture,,,Federal,,Federal Agencies,,
27,Yes,Lone Jack PD,Lone Jack Police Department,Lone Jack PD,Jackson,Missouri,Eastern Jack,,https://lonejackmo.org/city-lone-jack-police-department/,"401 N Bynum Rd, Lone Jack, MO 64070"
28,Yes,JC Sheriff,Jackson County Sheriff,Jackson County Sheriff,Jackson,Missouri,Eastern Jack,,https://www.jacksoncountysheriff.org/Home,"4001 NE Lakewood Ct, Lee's Summit, MO 64064"
30,Yes,Cass County Sheriff's Department,Cass County Sheriff,,Cass,Missouri,,Other In-State,,
31,Yes,Grain Valley PD,Grain Valley Police Department,Grain Valley PD,Jackson,Missouri,Eastern Jack,,https://cityofgrainvalley.org/police/,"711 N Main St, Grain Valley, MO 64029"
32,Yes,Lake Tapawingo PD,Lake Tapawingo Police Department,Lake Tapawingo PD,Jackson,Missouri,Eastern Jack,,https://www.laketapawingomo.org/,"144 Anchor Dr, Blue Springs, MO 64015"
33,Yes,MO Dept. of Social Services,MO Department of Social Services,,,Missouri,,State Agencies,https://dss.mo.gov/,
34,,Greene County MO Sheriff's Department,Greene County Sheriff,,Greene,Missouri,,Other In-State,,
35,Yes,Greenwood PD,Greenwood Police Department,Greenwood PD,Jackson,Missouri,Eastern Jack,,https://www.greenwoodmo.com/pview.aspx?id=20808&catid=0,"709 W Main St, Greenwood, MO 64034"
36,Yes,Lake Lotawana PD,Lake Lotawana Police Department,Lake Lotawana PD,Jackson,Missouri,Eastern Jack,,https://lakelotawana.org/police,"100 Lake Lotawana Rd, Lake Lotawana, MO 64086"
37,Yes,Liberty Police Department,Liberty Police Department,Liberty PD,Clay,Missouri,,Other In-State,,
42,Yes,Other,Other,,,,,Other,,
44,,Missouri Water Patro,MO Water Patrol,,,Missouri,,State Agencies,,
45,Yes,JCPO,Jackson County Prosecuting Attorney's Office,JCPAO,Jackson,Missouri,,Other In-County,https://www.jacksoncountyprosecutor.com/,"415 E 12th St, Kansas City, MO 64106"
47,Yes,Ja Co Jail,Jackson County Detention Center,County Jail,Jackson,Missouri,,Other In-County,https://www.jacksongov.org/Residents/Public-Safety/Jackson-County-Detention-Center,"1300 Cherry St, Kansas City, MO 64106"
48,Yes,KC KS PD,"Kansas City, KS Police Department",KCKPD,Wyandotte,Kansas,,Out-of-State,https://www.kckpd.org/Home,"700 Minnesota Ave, Kansas City, KS 66101"
49,,MMU,Marshall Municipal Utilities*,,,Missouri,,Other In-State,,
52,Yes,U.S. Dept. of Labor,US Department of Labor,,,Federal,,Federal Agencies,,
53,Yes,Dept. of Revenue,MO Department of Revenue,,,Missouri,,State Agencies,,
54,Yes,Dept. of Health and Senior Services,MO Department of Health and Senior Services,,,Missouri,,State Agencies,,
55,Yes,Belton PD,Belton Police Department,,Cass,Missouri,,Other In-State,,
56,,Lake Winnebago,Lake Winnebago Police Department,,Cass,Missouri,,Other In-State,,
57,Yes,DEA,Drug Enforcement Administration,DEA,,Federal,,Federal Agencies,,
58,,U.S. Secret Service,US Secret Service,USSS,,Federal,,Federal Agencies,,
59,,Marshall MO P.D.,Marshall Police Department,,Saline,Missouri,,Other In-State,,
60,Yes,JaCo PA's Office,Jackson County Prosecuting Attorney's Office,JCPAO,Jackson,Missouri,,Other In-County,https://www.jacksoncountyprosecutor.com/,"415 E 12th St, Kansas City, MO 64106"
61,Yes,AFDC,Aid to Families with Dependent Children,AFDC,,Federal,,Federal Agencies,,
62,,Indep-Vehicular,Independence Police Department - Vehicular,Independence PD,Jackson,Missouri,Eastern Jack,,https://www.independencemo.gov/government/city-departments/police,"223 N Memorial Dr, Independence, MO 64050"
64,,Dept. of Health,MO Department of Health and Senior Services*,,,Missouri,,State Agencies,,
65,Yes,FBI,Federal Bureau of Investigation,FBI,,Federal,,Federal Agencies,,
66,,Food and Drug Administration-Criminal Investigations,Food and Drug Administration,FDA,,Federal,,Federal Agencies,,
