charge_code,severity,class,short_desc,mshp_code,ncic_code,statute,long_desc,osca_type,sevclass_value,ncic_category,legacy,OLD_category,OLD_ncic,dv
54042,F,D,COM PROH ACTS -2ND/SUB,FELFRD,73,105452,COMMITTED ACTS PROHIBITED BY ELECTED AND APPOINTED PUBLIC OFFICIALS AND EMPLOYEES - 2ND OR SUBSEQUENT OFFENSE,F,4,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54044,M,B,COM PROH ACT - 1ST OFFENSE,MISPUB,73,105452,COMMITTED ACTS PROHIBITED BY ELECTED AND APPOINTED PUBLIC OFFICIALS AND EMPLOYEES - 1ST OFFENSE,M,8,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54036,F,D,ETHICS VIOL-OFFCL/LOBST-2ND OFNS,FELFRD,73,105454,ETHICS VIOLATION BY ELECTED OFFICIAL OR LOBBYIST- 2ND OFFENSE,F,4,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54037,M,B,ETHICS VIOL-OFFCL/LOBST-1ST OFNS,MISPUB,73,105454,ETHICS VIOLATION BY ELECTED OFFICIAL OR LOBBYIST- 1ST OFFENSE,M,8,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54046,F,D,COM ACTS-MEMB-2ND SUBS,FELFRD,73,105458,COMMITTED ACT PROHIBITED BY MEMBERS OF GOVERNING BODIES OF POLITICAL SUBDIVISIONS - 2ND OR SUBSEQUENT OFFENSE,F,4,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54048,M,B,COM ACTS-MEMBER-1ST OFFNS,MISPUB,73,105458,COMMITTED ACT PROHIBITED BY MEMBERS OF GOVERNING BODIES OF POLITICAL SUBDIVISIONS - 1ST OFFENSE,M,8,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
19704,M,B,ACT MEMBR POLIT SUBD 1ST,MISFRD,26,105458,COMIT ACTS PROHIB BY MEMBRS OF POLITICAL SUBDIVISION 1ST OFFNS,,8,FRAUD,TRUE,Fraud,26,
19703,F,D,ACTS MEMBR POLIT SUB 2ND,FELFRD,26,105458,COMIT ACTS PROHIBITED BY MEMBERS OF POLITICAL SUBD 2ND/SUBSEQ,,4,FRAUD,TRUE,Fraud,26,
54035,M,U,FAIL REG AS LOBBYIST,MISPUB,73,105470,FAILURE TO REGISTER AS A LOBBYIST,M,11,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
19719,M,A,LOBBYIST FALSIFY INFO-MONTHLY REP,MISFRD,26,105473,"LOBBYIST KNOWINGLY OMIT, CONCEAL OR FALSIFY INFORMATION REQUIRED IN MONTHLY REPORTS",M,7,FRAUD,TRUE,Fraud,26,
